id;type;start_date;end_date;priority;created_by;last_update_by;org_signature
1;reboot;2021-06-27T14:08:49;2021-06-27T21:48:45;11537;Beauty;Beauty cultivate;systems Gloves
2;Practical revolutionize 東路;2021-06-27T12:12:06;2021-06-27T11:14:47;56799;COM 台灣省;San Gloves Principal;deposit Clothing
3;indexing;2021-06-28T06:40:47;2021-06-28T07:19:57;44756;reinvent;Salad 街 Soft;24/7 online
4;Computer empowering time-frame;2021-06-27T12:25:58;2021-06-28T07:18:49;41290;fresh-thinking Mali Switchable;西路 Technician;Toys 24/7 Liaison
5;Data web-readiness applications;2021-06-28T09:42:42;2021-06-28T09:47:16;32104;Avon;wireless Kong leverage;北路 system
6;Auto transmitting;2021-06-27T16:08:47;2021-06-27T10:51:56;35386;SMS;mobile infomediaries Concrete;transmitter
7;systematic;2021-06-27T19:27:38;2021-06-27T16:17:14;27530;demand-driven;Cheese;cohesive feed
8;Cheese Cambridgeshire;2021-06-28T06:32:55;2021-06-27T11:07:14;75950;copy Extended;Berkshire;Managed synergy Future
9;Movies Phased;2021-06-27T17:26:23;2021-06-28T04:57:41;2957;experiences;台灣省 methodologies;Sleek Synergistic logistical
10;Ball Shoes;2021-06-28T00:33:27;2021-06-27T12:41:36;73034;brand composite;Cambridgeshire Planner;Profit-focused Caribbean
