id;type;topic;title;img;img_verse;pray_read_verse;content;last_update_by;status;event_date
1;SERVICEONE;Metal backing;attitude-oriented;bypassing 南路 Music;Global Guadeloupe;東路 invoice;../fake-data/blob/hipster.txt;copy CSS functionalities;Plastic Designer;2021-06-28T02:39:57
2;GENERAL;Consultant Branding;contingency Market generating;heuristic syndicate;calculating Auto mobile;Ergonomic Surinam Madagascar;../fake-data/blob/hipster.txt;architect 路;Gibraltar;2021-06-28T03:13:24
3;GENERAL;Investment;pixel payment Regional;panel synthesizing;Soft;Granite quantify methodology;../fake-data/blob/hipster.txt;Ergonomic;holistic Metrics mindshare;2021-06-27T18:38:54
4;GENERAL;leverage cross-platform;福建省 Assurance Response;deploy Home;azure;路 Plastic scalable;../fake-data/blob/hipster.txt;Analyst 福建省 Account;Mouse;2021-06-27T23:58:39
5;NEWBELIVER;enterprise user-facing;Pizza Assimilated Tactics;paradigms parse;policy Palladium Regional;SSL Granite;../fake-data/blob/hipster.txt;platforms Sleek 台灣省;Sausages Steel;2021-06-27T22:45:13
6;SERVICEONE;program;Upgradable Accounts;Fresh homogeneous Haiti;福建省 北路;台灣省 initiative deposit;../fake-data/blob/hipster.txt;Bike Fish;Plastic Manager Inverse;2021-06-27T11:40:09
7;NEWBELIVER;Frozen;Grocery Infrastructure RAM;disintermediate empowering;reinvent Tools;Grocery Towels Frozen;../fake-data/blob/hipster.txt;Associate;lime Checking Baby;2021-06-27T12:09:27
8;NEWBELIVER;Frozen;array Adaptive;Wooden ivory Avon;Security;Refined Movies;../fake-data/blob/hipster.txt;Hat;Account Future Metal;2021-06-27T15:10:41
9;SERVICEONE;plug-and-play Unbranded;overriding;transmitting Account;Innovative architect management;Berkshire optical;../fake-data/blob/hipster.txt;Borders Account Ball;open-source;2021-06-28T09:00:33
10;GENERAL;Pants tolerance calculate;Ergonomic Investor;alarm;invoice encoding;Facilitator;../fake-data/blob/hipster.txt;composite 東路 PNG;expedite;2021-06-28T03:56:04
