id;title;type;content;last_update_by;status;event_date
1;RSS copying Rubber;TRAINING;Loan 台灣省;Granite;Sleek Savings;2021-06-28T04:28:19
2;Identity Cotton;TRAINING;Soft neural;北路 quantifying;Dynamic invoice expedite;2021-06-27T17:51:33
3;Metal;GOSPEL;online deposit PCI;Implementation distributed panel;Organized teal;2021-06-27T21:13:19
4;web-readiness cyan;TRAINING;up;pixel 北路 Multi-tiered;Cambridgeshire mobile XML;2021-06-27T16:39:25
5;Franc SSL;TRAINING;engage Som;channels Accounts database;Rufiyaa;2021-06-27T21:29:11
6;Executive Tools;GOSPEL;Gorgeous 北路 compress;virtual Facilitator;synthesize Kids Usability;2021-06-28T00:36:16
7;Computer;TRAINING;Books;Myanmar interface;路;2021-06-28T04:08:47
8;users Ergonomic;GOSPEL;Faroe Turks Specialist;Associate Djibouti;Consultant 街 Kip;2021-06-27T10:12:18
9;Engineer Codes Home;GOSPEL;protocol;福建省;Avon Metal;2021-06-27T22:39:34
10;ivory;GOSPEL;Investor transitional;eco-centric communities sky;installation wireless;2021-06-28T05:58:22
